"Age","Sex","Country","2020"
"25 - 29","Female","Canada",1278654
"25 - 29","Female","Croatia",114314
"25 - 29","Female","Cyprus",38604
"25 - 29","Female","Czechia",308415
"25 - 29","Female","Denmark",196917
"25 - 29","Female","Estonia",37598
"25 - 29","Female","Finland",171887
"25 - 29","Female","France",1882973
"25 - 29","Female","Georgia",118881
"25 - 29","Female","Germany",2399311
"25 - 29","Female","Greece",271458
"25 - 29","Female","Hungary",302686
"25 - 29","Female","Iceland",14213
"25 - 29","Female","Ireland",144632
"25 - 29","Female","Israel",315465
"25 - 29","Female","Italy",1501182
"25 - 29","Female","Kazakhstan",..
"25 - 29","Female","Kyrgyzstan",279117
"25 - 29","Female","Latvia",53469
"25 - 29","Female","Liechtenstein",1141
"25 - 29","Female","Lithuania",86988
"25 - 29","Female","Luxembourg",23158
"25 - 29","Female","Malta",20783
"25 - 29","Female","Monaco",..
"25 - 29","Female","Montenegro",19001
"25 - 29","Female","Netherlands",558869
"25 - 29","Female","North Macedonia",74048
"25 - 29","Female","Norway",179905
"25 - 29","Female","Poland",1203934
"25 - 29","Female","Portugal",274288
"25 - 29","Female","Republic of Moldova",91166
"25 - 29","Female","Romania",496179
"25 - 29","Female","Russian Federation",..
"25 - 29","Female","San Marino",803
"25 - 29","Female","Serbia",202103
"25 - 29","Female","Slovakia",175752
"25 - 29","Female","Slovenia",52737
"25 - 29","Female","Spain",1252729
"25 - 29","Female","Sweden",354046
"25 - 29","Female","Switzerland",276625
"25 - 29","Female","Tajikistan",..
"25 - 29","Female","Turkiye",3128532
"25 - 29","Female","Turkmenistan",..
"25 - 29","Female","Ukraine",1292660
"25 - 29","Female","United Kingdom",..
"25 - 29","Female","United States",11224441
"25 - 29","Female","Uzbekistan",1578834
"25 - 29","Male","UNECE-56",..
"25 - 29","Male","European Union-27",..
"25 - 29","Male","Euro area-20",..
"25 - 29","Male","Eurasian Economic Union (EAEU)",..
"25 - 29","Male","EECCA",..
"25 - 29","Male","CIS-11",..
"25 - 29","Male","North America-2",..
"25 - 29","Male","Western Balkans-6",..
"25 - 29","Male","Albania",119011
"25 - 29","Male","Andorra",..
"25 - 29","Male","Armenia",108157
"25 - 29","Male","Austria",306732
"25 - 29","Male","Azerbaijan",452244
"25 - 29","Male","Belarus",290132
"25 - 29","Male","Belgium",373086
"25 - 29","Male","Bosnia and Herzegovina",114828
"25 - 29","Male","Bulgaria",193939
"25 - 29","Male","Canada",1364757
"25 - 29","Male","Croatia",123988
"25 - 29","Male","Cyprus",36650
"25 - 29","Male","Czechia",327993
"25 - 29","Male","Denmark",204906
"25 - 29","Male","Estonia",41089
"25 - 29","Male","Finland",182450
"25 - 29","Male","France",1849075
"25 - 29","Male","Georgia",124354
"25 - 29","Male","Germany",2594394
"25 - 29","Male","Greece",289816
"25 - 29","Male","Hungary",323629
"25 - 29","Male","Iceland",16180
"25 - 29","Male","Ireland",146470
"25 - 29","Male","Israel",307529
"25 - 29","Male","Italy",1585854
"25 - 29","Male","Kazakhstan",..
"25 - 29","Male","Kyrgyzstan",289819
"25 - 29","Male","Latvia",57370
"25 - 29","Male","Liechtenstein",1173
"25 - 29","Male","Lithuania",97066
"25 - 29","Male","Luxembourg",24428
"25 - 29","Male","Malta",24750
"25 - 29","Male","Monaco",..
"25 - 29","Male","Montenegro",20367
"25 - 29","Male","Netherlands",577084
"25 - 29","Male","North Macedonia",77889
"25 - 29","Male","Norway",188999
"25 - 29","Male","Poland",1249849
"25 - 29","Male","Portugal",273348
"25 - 29","Male","Republic of Moldova",90345
"25 - 29","Male","Romania",535047
"25 - 29","Male","Russian Federation",..
"25 - 29","Male","San Marino",824
"25 - 29","Male","Serbia",212761
"25 - 29","Male","Slovakia",183451
"25 - 29","Male","Slovenia",60703
"25 - 29","Male","Spain",1285690
"25 - 29","Male","Sweden",374681
"25 - 29","Male","Switzerland",286274
"25 - 29","Male","Tajikistan",..
"25 - 29","Male","Turkiye",3240600
"25 - 29","Male","Turkmenistan",..
"25 - 29","Male","Ukraine",1361559
"25 - 29","Male","United Kingdom",..
"25 - 29","Male","United States",11580760
"25 - 29","Male","Uzbekistan",1636539
"30 - 34","Both sexes","UNECE-56",..
"30 - 34","Both sexes","European Union-27",..
"30 - 34","Both sexes","Euro area-20",..
"30 - 34","Both sexes","Eurasian Economic Union (EAEU)",..
"30 - 34","Both sexes","EECCA",..
"30 - 34","Both sexes","CIS-11",..
"30 - 34","Both sexes","North America-2",..
"30 - 34","Both sexes","Western Balkans-6",..
"30 - 34","Both sexes","Albania",204497
"30 - 34","Both sexes","Andorra",..
"30 - 34","Both sexes","Armenia",264026
"30 - 34","Both sexes","Austria",610563
"30 - 34","Both sexes","Azerbaijan",918802
"30 - 34","Both sexes","Belarus",769425
"30 - 34","Both sexes","Belgium",753671
"30 - 34","Both sexes","Bosnia and Herzegovina",246071
"30 - 34","Both sexes","Bulgaria",475656
"30 - 34","Both sexes","Canada",2660858
"30 - 34","Both sexes","Croatia",252927
"30 - 34","Both sexes","Cyprus",75314
"30 - 34","Both sexes","Czechia",720529
"30 - 34","Both sexes","Denmark",363406
"30 - 34","Both sexes","Estonia",101473
"30 - 34","Both sexes","Finland",352917
"30 - 34","Both sexes","France",4073323
"30 - 34","Both sexes","Georgia",271735
"30 - 34","Both sexes","Germany",5538404
"30 - 34","Both sexes","Greece",591226
"30 - 34","Both sexes","Hungary",621019
"30 - 34","Both sexes","Iceland",28056
"30 - 34","Both sexes","Ireland",321945
"30 - 34","Both sexes","Israel",603752
"30 - 34","Both sexes","Italy",3254293
"30 - 34","Both sexes","Kazakhstan",..
"30 - 34","Both sexes","Kyrgyzstan",564106
"30 - 34","Both sexes","Latvia",137084
"30 - 34","Both sexes","Liechtenstein",2451
"30 - 34","Both sexes","Lithuania",190517
"30 - 34","Both sexes","Luxembourg",50241
"30 - 34","Both sexes","Malta",47243
"30 - 34","Both sexes","Monaco",..
"30 - 34","Both sexes","Montenegro",43340
"30 - 34","Both sexes","Netherlands",1114296
"30 - 34","Both sexes","North Macedonia",161521
"30 - 34","Both sexes","Norway",377529
"30 - 34","Both sexes","Poland",2829159
"30 - 34","Both sexes","Portugal",566423
"30 - 34","Both sexes","Republic of Moldova",215760
"30 - 34","Both sexes","Romania",1352609
"30 - 34","Both sexes","Russian Federation",..
"30 - 34","Both sexes","San Marino",1761
"30 - 34","Both sexes","Serbia",451577
"30 - 34","Both sexes","Slovakia",407185
"30 - 34","Both sexes","Slovenia",134953
"30 - 34","Both sexes","Spain",2761925
"30 - 34","Both sexes","Sweden",727920
"30 - 34","Both sexes","Switzerland",616270
"30 - 34","Both sexes","Tajikistan",..
"30 - 34","Both sexes","Turkiye",6340955
"30 - 34","Both sexes","Turkmenistan",..
"30 - 34","Both sexes","Ukraine",3407605
"30 - 34","Both sexes","United Kingdom",..
"30 - 34","Both sexes","United States",22877649
"30 - 34","Both sexes","Uzbekistan",3059427
"30 - 34","Female","UNECE-56",..
"30 - 34","Female","European Union-27",..
"30 - 34","Female","Euro area-20",..
"30 - 34","Female","Eurasian Economic Union (EAEU)",..
"30 - 34","Female","EECCA",..
"30 - 34","Female","CIS-11",..
"30 - 34","Female","North America-2",..
"30 - 34","Female","Western Balkans-6",..
"30 - 34","Female","Albania",97075
"30 - 34","Female","Andorra",..
"30 - 34","Female","Armenia",139298
"30 - 34","Female","Austria",299774
"30 - 34","Female","Azerbaijan",467349
"30 - 34","Female","Belarus",386816
"30 - 34","Female","Belgium",376489
"30 - 34","Female","Bosnia and Herzegovina",120164
"30 - 34","Female","Bulgaria",231513
"30 - 34","Female","Canada",1311011
"30 - 34","Female","Croatia",122431
"30 - 34","Female","Cyprus",38094
"30 - 34","Female","Czechia",349105
"30 - 34","Female","Denmark",177891
"30 - 34","Female","Estonia",47937
"30 - 34","Female","Finland",170643
"30 - 34","Female","France",2092803
"30 - 34","Female","Georgia",135270
"30 - 34","Female","Germany",2684802
"30 - 34","Female","Greece",295902
"30 - 34","Female","Hungary",299911
"30 - 34","Female","Iceland",12888
"30 - 34","Female","Ireland",165354
"30 - 34","Female","Israel",302740
"30 - 34","Female","Italy",1607975
"30 - 34","Female","Kazakhstan",..
"30 - 34","Female","Kyrgyzstan",281432
"30 - 34","Female","Latvia",66304
"30 - 34","Female","Liechtenstein",1221
"30 - 34","Female","Lithuania",89021
"30 - 34","Female","Luxembourg",24815
"30 - 34","Female","Malta",21525
"30 - 34","Female","Monaco",..
"30 - 34","Female","Montenegro",21093
"30 - 34","Female","Netherlands",550749
"30 - 34","Female","North Macedonia",78775
"30 - 34","Female","Norway",184944
"30 - 34","Female","Poland",1387712
"30 - 34","Female","Portugal",287483
"30 - 34","Female","Republic of Moldova",107620
"30 - 34","Female","Romania",650094
"30 - 34","Female","Russian Federation",..
"30 - 34","Female","San Marino",904
"30 - 34","Female","Serbia",220914
"30 - 34","Female","Slovakia",199438
"30 - 34","Female","Slovenia",62979
"30 - 34","Female","Spain",1381815
"30 - 34","Female","Sweden",354871
"30 - 34","Female","Switzerland",304917
"30 - 34","Female","Tajikistan",..
"30 - 34","Female","Turkiye",3130410
"30 - 34","Female","Turkmenistan",..
"30 - 34","Female","Ukraine",1675455
"30 - 34","Female","United Kingdom",..
"30 - 34","Female","United States",11304785
"30 - 34","Female","Uzbekistan",1513029
"30 - 34","Male","UNECE-56",..
"30 - 34","Male","European Union-27",..
"30 - 34","Male","Euro area-20",..
"30 - 34","Male","Eurasian Economic Union (EAEU)",..
"30 - 34","Male","EECCA",..
"30 - 34","Male","CIS-11",..
"30 - 34","Male","North America-2",..
"30 - 34","Male","Western Balkans-6",..
"30 - 34","Male","Albania",107422
"30 - 34","Male","Andorra",..
"30 - 34","Male","Armenia",124728
"30 - 34","Male","Austria",310789
"30 - 34","Male","Azerbaijan",451453
"30 - 34","Male","Belarus",382609
"30 - 34","Male","Belgium",377181
"30 - 34","Male","Bosnia and Herzegovina",125907
"30 - 34","Male","Bulgaria",244143
"30 - 34","Male","Canada",1349847
"30 - 34","Male","Croatia",130495
"30 - 34","Male","Cyprus",37219
"30 - 34","Male","Czechia",371423
"30 - 34","Male","Denmark",185515
"30 - 34","Male","Estonia",53536
"30 - 34","Male","Finland",182274
"30 - 34","Male","France",1980519
"30 - 34","Male","Georgia",136465
"30 - 34","Male","Germany",2853601
"30 - 34","Male","Greece",295324
"30 - 34","Male","Hungary",321108
"30 - 34","Male","Iceland",15168
"30 - 34","Male","Ireland",156590
"30 - 34","Male","Israel",301012
"30 - 34","Male","Italy",1646318
"30 - 34","Male","Kazakhstan",..
"30 - 34","Male","Kyrgyzstan",282674
"30 - 34","Male","Latvia",70780
"30 - 34","Male","Liechtenstein",1229
"30 - 34","Male","Lithuania",101496
"30 - 34","Male","Luxembourg",25426
"30 - 34","Male","Malta",25718
"30 - 34","Male","Monaco",..
"30 - 34","Male","Montenegro",22247
"30 - 34","Male","Netherlands",563546
"30 - 34","Male","North Macedonia",82746
"30 - 34","Male","Norway",192585
"30 - 34","Male","Poland",1441447
"30 - 34","Male","Portugal",278940
"30 - 34","Male","Republic of Moldova",108140
"30 - 34","Male","Romania",702514
"30 - 34","Male","Russian Federation",..
"30 - 34","Male","San Marino",857
"30 - 34","Male","Serbia",230663
"30 - 34","Male","Slovakia",207747
"30 - 34","Male","Slovenia",71974
"30 - 34","Male","Spain",1380109
"30 - 34","Male","Sweden",373048
"30 - 34","Male","Switzerland",311352
"30 - 34","Male","Tajikistan",..
"30 - 34","Male","Turkiye",3210545
"30 - 34","Male","Turkmenistan",..
"30 - 34","Male","Ukraine",1732150
"30 - 34","Male","United Kingdom",..
"30 - 34","Male","United States",11572864
"30 - 34","Male","Uzbekistan",1546398
"35 - 39","Both sexes","UNECE-56",..
"35 - 39","Both sexes","European Union-27",..
"35 - 39","Both sexes","Euro area-20",..
"35 - 39","Both sexes","Eurasian Economic Union (EAEU)",..
"35 - 39","Both sexes","EECCA",..
"35 - 39","Both sexes","CIS-11",..
"35 - 39","Both sexes","North America-2",..
"35 - 39","Both sexes","Western Balkans-6",..
"35 - 39","Both sexes","Albania",175566
"35 - 39","Both sexes","Andorra",..
"35 - 39","Both sexes","Armenia",243137
"35 - 39","Both sexes","Austria",612145
"35 - 39","Both sexes","Azerbaijan",788678
"35 - 39","Both sexes","Belarus",759179
"35 - 39","Both sexes","Belgium",749717
"35 - 39","Both sexes","Bosnia and Herzegovina",254156
"35 - 39","Both sexes","Bulgaria",479234
"35 - 39","Both sexes","Canada",2629217
"35 - 39","Both sexes","Croatia",279140
"35 - 39","Both sexes","Cyprus",69336
"35 - 39","Both sexes","Czechia",758154
"35 - 39","Both sexes","Denmark",328337
"35 - 39","Both sexes","Estonia",95944
"35 - 39","Both sexes","Finland",362238
"35 - 39","Both sexes","France",4235308
"35 - 39","Both sexes","Georgia",259596
"35 - 39","Both sexes","Germany",5290043
"35 - 39","Both sexes","Greece",718363
"35 - 39","Both sexes","Hungary",642696
"35 - 39","Both sexes","Iceland",26069
"35 - 39","Both sexes","Ireland",383708
"35 - 39","Both sexes","Israel",588146
"35 - 39","Both sexes","Italy",3527721
"35 - 39","Both sexes","Kazakhstan",..
"35 - 39","Both sexes","Kyrgyzstan",443570
"35 - 39","Both sexes","Latvia",131377
"35 - 39","Both sexes","Liechtenstein",2537
"35 - 39","Both sexes","Lithuania",175389
"35 - 39","Both sexes","Luxembourg",49268
"35 - 39","Both sexes","Malta",42647
"35 - 39","Both sexes","Monaco",..
"35 - 39","Both sexes","Montenegro",45542
"35 - 39","Both sexes","Netherlands",1049957
"35 - 39","Both sexes","North Macedonia",163186
"35 - 39","Both sexes","Norway",357306
"35 - 39","Both sexes","Poland",3138580
"35 - 39","Both sexes","Portugal",661323
"35 - 39","Both sexes","Republic of Moldova",199671
"35 - 39","Both sexes","Romania",1307850
"35 - 39","Both sexes","Russian Federation",..
"35 - 39","Both sexes","San Marino",2080
"35 - 39","Both sexes","Serbia",487004
"35 - 39","Both sexes","Slovakia",435011
"35 - 39","Both sexes","Slovenia",151305
"35 - 39","Both sexes","Spain",3260745
"35 - 39","Both sexes","Sweden",654664
"35 - 39","Both sexes","Switzerland",619933
"35 - 39","Both sexes","Tajikistan",..
"35 - 39","Both sexes","Turkiye",6529213
"35 - 39","Both sexes","Turkmenistan",..
"35 - 39","Both sexes","Ukraine",3476485
"35 - 39","Both sexes","United Kingdom",..
"35 - 39","Both sexes","United States",22233088
"35 - 39","Both sexes","Uzbekistan",2554941
"35 - 39","Female","UNECE-56",..
"35 - 39","Female","European Union-27",..
"35 - 39","Female","Euro area-20",..
"35 - 39","Female","Eurasian Economic Union (EAEU)",..
"35 - 39","Female","EECCA",..
"35 - 39","Female","CIS-11",..
"35 - 39","Female","North America-2",..
"35 - 39","Female","Western Balkans-6",..
"35 - 39","Female","Albania",85479
"35 - 39","Female","Andorra",..
"35 - 39","Female","Armenia",128388
"35 - 39","Female","Austria",303536
"35 - 39","Female","Azerbaijan",394322
"35 - 39","Female","Belarus",386149
"35 - 39","Female","Belgium",374603
"35 - 39","Female","Bosnia and Herzegovina",124656
"35 - 39","Female","Bulgaria",230875
"35 - 39","Female","Canada",1312638
"35 - 39","Female","Croatia",135638
"35 - 39","Female","Cyprus",35426
"35 - 39","Female","Czechia",365903
"35 - 39","Female","Denmark",162359
"35 - 39","Female","Estonia",46057
"35 - 39","Female","Finland",175317
"35 - 39","Female","France",2175862
"35 - 39","Female","Georgia",129706
"35 - 39","Female","Germany",2604046
"35 - 39","Female","Greece",357981
"35 - 39","Female","Hungary",315547
"35 - 39","Female","Iceland",12135
"35 - 39","Female","Ireland",199353
"35 - 39","Female","Israel",292668
"35 - 39","Female","Italy",1757466
"35 - 39","Female","Kazakhstan",..
"35 - 39","Female","Kyrgyzstan",220855
"35 - 39","Female","Latvia",64208
"35 - 39","Female","Liechtenstein",1266
"35 - 39","Female","Lithuania",82819
"35 - 39","Female","Luxembourg",24486
"35 - 39","Female","Malta",19377
"35 - 39","Female","Monaco",..
"35 - 39","Female","Montenegro",22489
"35 - 39","Female","Netherlands",522204
"35 - 39","Female","North Macedonia",79710
"35 - 39","Female","Norway",173511
"35 - 39","Female","Poland",1543932
"35 - 39","Female","Portugal",343088
"35 - 39","Female","Republic of Moldova",100215
"35 - 39","Female","Romania",633093
"35 - 39","Female","Russian Federation",..
"35 - 39","Female","San Marino",1058
"35 - 39","Female","Serbia",239616
"35 - 39","Female","Slovakia",211089
"35 - 39","Female","Slovenia",70883
"35 - 39","Female","Spain",1638283
"35 - 39","Female","Sweden",318445
"35 - 39","Female","Switzerland",306724
"35 - 39","Female","Tajikistan",..
"35 - 39","Female","Turkiye",3231577
"35 - 39","Female","Turkmenistan",..
"35 - 39","Female","Ukraine",1729592
"35 - 39","Female","United Kingdom",..
"35 - 39","Female","United States",11007452
"35 - 39","Female","Uzbekistan",1275807
"35 - 39","Male","UNECE-56",..
"35 - 39","Male","European Union-27",..
"35 - 39","Male","Euro area-20",..
"35 - 39","Male","Eurasian Economic Union (EAEU)",..
"35 - 39","Male","EECCA",..
"35 - 39","Male","CIS-11",..
"35 - 39","Male","North America-2",..
"35 - 39","Male","Western Balkans-6",..
"35 - 39","Male","Albania",90087
"35 - 39","Male","Andorra",..
"35 - 39","Male","Armenia",114749
"35 - 39","Male","Austria",308608
"35 - 39","Male","Azerbaijan",394356
"35 - 39","Male","Belarus",373030
"35 - 39","Male","Belgium",375114
"35 - 39","Male","Bosnia and Herzegovina",129500
"35 - 39","Male","Bulgaria",248358
"35 - 39","Male","Canada",1316579
"35 - 39","Male","Croatia",143501
"35 - 39","Male","Cyprus",33909
"35 - 39","Male","Czechia",392250
"35 - 39","Male","Denmark",165977
"35 - 39","Male","Estonia",49887
"35 - 39","Male","Finland",186920
"35 - 39","Male","France",2059446
"35 - 39","Male","Georgia",129889
"35 - 39","Male","Germany",2685997
"35 - 39","Male","Greece",360381
"35 - 39","Male","Hungary",327149
"35 - 39","Male","Iceland",13934
"35 - 39","Male","Ireland",184355
"35 - 39","Male","Israel",295478
"35 - 39","Male","Italy",1770255
"35 - 39","Male","Kazakhstan",..
"35 - 39","Male","Kyrgyzstan",222715
"35 - 39","Male","Latvia",67169
"35 - 39","Male","Liechtenstein",1271
"35 - 39","Male","Lithuania",92570
"35 - 39","Male","Luxembourg",24782
"35 - 39","Male","Malta",23270
"35 - 39","Male","Monaco",..
"35 - 39","Male","Montenegro",23053
"35 - 39","Male","Netherlands",527753
"35 - 39","Male","North Macedonia",83476
"35 - 39","Male","Norway",183794
"35 - 39","Male","Poland",1594648
"35 - 39","Male","Portugal",318235
"35 - 39","Male","Republic of Moldova",99456
"35 - 39","Male","Romania",674757
"35 - 39","Male","Russian Federation",..
"35 - 39","Male","San Marino",1022
"35 - 39","Male","Serbia",247388
"35 - 39","Male","Slovakia",223922
"35 - 39","Male","Slovenia",80422
"35 - 39","Male","Spain",1622462
"35 - 39","Male","Sweden",336218
"35 - 39","Male","Switzerland",313209
"35 - 39","Male","Tajikistan",..
"35 - 39","Male","Turkiye",3297635
"35 - 39","Male","Turkmenistan",..
"35 - 39","Male","Ukraine",1746893
"35 - 39","Male","United Kingdom",..
"35 - 39","Male","United States",11225636
"35 - 39","Male","Uzbekistan",1279134
"40 - 44","Both sexes","UNECE-56",..
"40 - 44","Both sexes","European Union-27",..
"40 - 44","Both sexes","Euro area-20",..
"40 - 44","Both sexes","Eurasian Economic Union (EAEU)",..
"40 - 44","Both sexes","EECCA",..
"40 - 44","Both sexes","CIS-11",..
"40 - 44","Both sexes","North America-2",..
"40 - 44","Both sexes","Western Balkans-6",..
"40 - 44","Both sexes","Albania",159966
"40 - 44","Both sexes","Andorra",..
"40 - 44","Both sexes","Armenia",195933
"40 - 44","Both sexes","Austria",567788
"40 - 44","Both sexes","Azerbaijan",645599
"40 - 44","Both sexes","Belarus",676290
"40 - 44","Both sexes","Belgium",745119
"40 - 44","Both sexes","Bosnia and Herzegovina",249062
"40 - 44","Both sexes","Bulgaria",527528
"40 - 44","Both sexes","Canada",2463031
"40 - 44","Both sexes","Croatia",279242
"40 - 44","Both sexes","Cyprus",59705
"40 - 44","Both sexes","Czechia",908383
"40 - 44","Both sexes","Denmark",358989
"40 - 44","Both sexes","Estonia",91266
"40 - 44","Both sexes","Finland",347503
"40 - 44","Both sexes","France",4121890
"40 - 44","Both sexes","Georgia",241255
"40 - 44","Both sexes","Germany",4971957
"40 - 44","Both sexes","Greece",798436
"40 - 44","Both sexes","Hungary",818331
"40 - 44","Both sexes","Iceland",24313
"40 - 44","Both sexes","Ireland",394606
"40 - 44","Both sexes","Israel",564583
"40 - 44","Both sexes","Italy",4098017
"40 - 44","Both sexes","Kazakhstan",..
"40 - 44","Both sexes","Kyrgyzstan",362343
"40 - 44","Both sexes","Latvia",123254
"40 - 44","Both sexes","Liechtenstein",2579
"40 - 44","Both sexes","Lithuania",173786
"40 - 44","Both sexes","Luxembourg",47624
"40 - 44","Both sexes","Malta",38121
"40 - 44","Both sexes","Monaco",..
"40 - 44","Both sexes","Montenegro",43093
"40 - 44","Both sexes","Netherlands",1027748
"40 - 44","Both sexes","North Macedonia",154906
"40 - 44","Both sexes","Norway",347652
"40 - 44","Both sexes","Poland",2980003
"40 - 44","Both sexes","Portugal",774448
"40 - 44","Both sexes","Republic of Moldova",175624
"40 - 44","Both sexes","Romania",1525081
"40 - 44","Both sexes","Russian Federation",..
"40 - 44","Both sexes","San Marino",2650
"40 - 44","Both sexes","Serbia",497839
"40 - 44","Both sexes","Slovakia",454623
"40 - 44","Both sexes","Slovenia",160767
"40 - 44","Both sexes","Spain",3919871
"40 - 44","Both sexes","Sweden",632749
"40 - 44","Both sexes","Switzerland",593887
"40 - 44","Both sexes","Tajikistan",..
"40 - 44","Both sexes","Turkiye",6101247
"40 - 44","Both sexes","Turkmenistan",..
"40 - 44","Both sexes","Ukraine",3100268
"40 - 44","Both sexes","United Kingdom",..
"40 - 44","Both sexes","United States",20670322
"40 - 44","Both sexes","Uzbekistan",2124473
"40 - 44","Female","UNECE-56",..
"40 - 44","Female","European Union-27",..
"40 - 44","Female","Euro area-20",..
"40 - 44","Female","Eurasian Economic Union (EAEU)",..
"40 - 44","Female","EECCA",..
"40 - 44","Female","CIS-11",..
"40 - 44","Female","North America-2",..
"40 - 44","Female","Western Balkans-6",..
"40 - 44","Female","Albania",80956
"40 - 44","Female","Andorra",..
"40 - 44","Female","Armenia",104511
"40 - 44","Female","Austria",282514
"40 - 44","Female","Azerbaijan",322547
"40 - 44","Female","Belarus",348053
"40 - 44","Female","Belgium",370292
"40 - 44","Female","Bosnia and Herzegovina",122982
"40 - 44","Female","Bulgaria",255907
"40 - 44","Female","Canada",1243778
"40 - 44","Female","Croatia",136410
"40 - 44","Female","Cyprus",31116
"40 - 44","Female","Czechia",440684
"40 - 44","Female","Denmark",179061
"40 - 44","Female","Estonia",44160
"40 - 44","Female","Finland",169071
"40 - 44","Female","France",2097198
"40 - 44","Female","Georgia",121719
"40 - 44","Female","Germany",2470886
"40 - 44","Female","Greece",401063
"40 - 44","Female","Hungary",403455
"40 - 44","Female","Iceland",11606
"40 - 44","Female","Ireland",201093
"40 - 44","Female","Israel",279751
"40 - 44","Female","Italy",2052667
"40 - 44","Female","Kazakhstan",..
"40 - 44","Female","Kyrgyzstan",182328
"40 - 44","Female","Latvia",62058
"40 - 44","Female","Liechtenstein",1283
"40 - 44","Female","Lithuania",85073
"40 - 44","Female","Luxembourg",23533
"40 - 44","Female","Malta",17550
"40 - 44","Female","Monaco",..
"40 - 44","Female","Montenegro",21775
"40 - 44","Female","Netherlands",515020
"40 - 44","Female","North Macedonia",75582
"40 - 44","Female","Norway",168822
"40 - 44","Female","Poland",1473387
"40 - 44","Female","Portugal",405279
"40 - 44","Female","Republic of Moldova",88876
"40 - 44","Female","Romania",745183
"40 - 44","Female","Russian Federation",..
"40 - 44","Female","San Marino",1411
"40 - 44","Female","Serbia",245977
"40 - 44","Female","Slovakia",220577
"40 - 44","Female","Slovenia",75453
"40 - 44","Female","Spain",1948680
"40 - 44","Female","Sweden",309970
"40 - 44","Female","Switzerland",295123
"40 - 44","Female","Tajikistan",..
"40 - 44","Female","Turkiye",3019975
"40 - 44","Female","Turkmenistan",..
"40 - 44","Female","Ukraine",1577682
"40 - 44","Female","United Kingdom",..
"40 - 44","Female","United States",10302024
"40 - 44","Female","Uzbekistan",1065459
"40 - 44","Male","UNECE-56",..
"40 - 44","Male","European Union-27",..
"40 - 44","Male","Euro area-20",..
"40 - 44","Male","Eurasian Economic Union (EAEU)",..
"40 - 44","Male","EECCA",..
"40 - 44","Male","CIS-11",..
"40 - 44","Male","North America-2",..
"40 - 44","Male","Western Balkans-6",..
"40 - 44","Male","Albania",79010
"40 - 44","Male","Andorra",..
"40 - 44","Male","Armenia",91422
"40 - 44","Male","Austria",285273
"40 - 44","Male","Azerbaijan",323052
"40 - 44","Male","Belarus",328237
"40 - 44","Male","Belgium",374827
"40 - 44","Male","Bosnia and Herzegovina",126080
"40 - 44","Male","Bulgaria",271621
"40 - 44","Male","Canada",1219253
"40 - 44","Male","Croatia",142831
"40 - 44","Male","Cyprus",28589
"40 - 44","Male","Czechia",467699
"40 - 44","Male","Denmark",179928
"40 - 44","Male","Estonia",47106
"40 - 44","Male","Finland",178432
"40 - 44","Male","France",2024692
"40 - 44","Male","Georgia",119536
"40 - 44","Male","Germany",2501071
"40 - 44","Male","Greece",397373
"40 - 44","Male","Hungary",414876
"40 - 44","Male","Iceland",12707
"40 - 44","Male","Ireland",193513
"40 - 44","Male","Israel",284832
"40 - 44","Male","Italy",2045350
"40 - 44","Male","Kazakhstan",..
"40 - 44","Male","Kyrgyzstan",180015
"40 - 44","Male","Latvia",61195
"40 - 44","Male","Liechtenstein",1296
"40 - 44","Male","Lithuania",88713
"40 - 44","Male","Luxembourg",24090
"40 - 44","Male","Malta",20570
"40 - 44","Male","Monaco",..
"40 - 44","Male","Montenegro",21318
"40 - 44","Male","Netherlands",512728
"40 - 44","Male","North Macedonia",79324
"40 - 44","Male","Norway",178830
"40 - 44","Male","Poland",1506616
"40 - 44","Male","Portugal",369169
"40 - 44","Male","Republic of Moldova",86748
"40 - 44","Male","Romania",779898
"40 - 44","Male","Russian Federation",..
"40 - 44","Male","San Marino",1239
"40 - 44","Male","Serbia",251862
"40 - 44","Male","Slovakia",234046
"40 - 44","Male","Slovenia",85314
"40 - 44","Male","Spain",1971191
"40 - 44","Male","Sweden",322778
"40 - 44","Male","Switzerland",298764
"40 - 44","Male","Tajikistan",..
"40 - 44","Male","Turkiye",3081271
"40 - 44","Male","Turkmenistan",..
"40 - 44","Male","Ukraine",1522586
"40 - 44","Male","United Kingdom",..
"40 - 44","Male","United States",10368298
"40 - 44","Male","Uzbekistan",1059014
"45 - 49","Both sexes","UNECE-56",..
"45 - 49","Both sexes","European Union-27",..
"45 - 49","Both sexes","Euro area-20",..
"45 - 49","Both sexes","Eurasian Economic Union (EAEU)",..
"45 - 49","Both sexes","EECCA",..
"45 - 49","Both sexes","CIS-11",..
"45 - 49","Both sexes","North America-2",..
"45 - 49","Both sexes","Western Balkans-6",..
"45 - 49","Both sexes","Albania",170674
"45 - 49","Both sexes","Andorra",..
"45 - 49","Both sexes","Armenia",167143
"45 - 49","Both sexes","Austria",615350
"45 - 49","Both sexes","Azerbaijan",602810
"45 - 49","Both sexes","Belarus",641081
"45 - 49","Both sexes","Belgium",761552
"45 - 49","Both sexes","Bosnia and Herzegovina",240474
"45 - 49","Both sexes","Bulgaria",525320
"45 - 49","Both sexes","Canada",2390358
"45 - 49","Both sexes","Croatia",268131
"45 - 49","Both sexes","Cyprus",53283
"45 - 49","Both sexes","Czechia",860932
"45 - 49","Both sexes","Denmark",393446
